X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.137442789,4.67913822184643,188,A20934,4467088,2016/12/10 00:00:00+00,2016,KR 100-CL 23 46,SOLO DANOS,CHOQUE,FONTIBON,2016/12/10 06:30:00+00,4.67913822,-74.13744279,9001764,201372
-74.145500974,4.69044170484607,189,A000692564,4505216,2018/01/11 00:00:00+00,2018,CL 24-KR 116 02,SOLO DANOS,CHOQUE,FONTIBON,2018/01/11 08:53:00+00,4.69044171,-74.14550097,9000437,
-74.185436523,4.63916203384771,190,A000688659,4497478,2017/10/25 00:00:00+00,2017,KR 95A-CL 50B S 02,CON HERIDOS,CAIDA DE OCUPANTE,BOSA,2017/10/25 19:10:00+00,4.63916203,-74.18543652,50006585,50017206
-74.0448579069999,4.752578032844,193,A000346562,4442418,2016/04/16 00:00:00+00,2016,CL 172A-KR 41 02,SOLO DANOS,CHOQUE,USAQUEN,2016/04/16 19:49:00+00,4.75257803,-74.04485791,1001316,5140
-74.138649874,4.61317269184855,194,A000764110,4514596,2018/04/12 00:00:00+00,2018,CL 36-KR 69C S 02,SOLO DANOS,CHOQUE,KENNEDY,2018/04/12 18:15:00+00,4.61317269,-74.13864987,8008551,214624
-74.090320021,4.69446430584592,196,A000403308,4448128,2016/06/10 00:00:00+00,2016,KR 72-CL 79 02,SOLO DANOS,CHOQUE,ENGATIVA,2016/06/10 20:30:00+00,4.69446431,-74.09032002,10006772,221235
-74.131283008,4.66697768484683,197,A000276279,4429032,2015/11/10 00:00:00+00,2015,CL 22-KR 87A 62,SOLO DANOS,CHOQUE,FONTIBON,2015/11/10 09:45:00+00,4.66697769,-74.13128301,9003211,199747
-74.068094629,4.73077434584472,198,A000472243,4458577,2016/09/25 00:00:00+00,2016,AV AVENIDA BOYACA-CL 142 02,CON HERIDOS,ATROPELLO,SUBA,2016/09/25 17:20:00+00,4.73077435,-74.06809463,11012324,173668
-74.1374848899999,4.55524201985044,202,A000690576,4499478,2017/11/13 00:00:00+00,2017,CL 64-KR 17C 02,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR,2017/11/13 11:40:00+00,4.55524202,-74.13748489,19012683,248479
-74.057179885,4.6848789838462,203,A000402412,4448666,2016/06/16 00:00:00+00,2016,AK 20-CL 97 02,SOLO DANOS,CHOQUE,CHAPINERO,2016/06/16 16:00:00+00,4.68487898,-74.05717989,2000056,35854
-74.179006162,4.62491297284819,205,A000642512,4491361,2017/08/23 00:00:00+00,2017,KR 86A-CL 52 02,SOLO DANOS,CHOQUE,BOSA,2017/08/23 17:00:00+00,4.62491297,-74.17900616,7001845,230920
-74.1045564469999,4.61421963884854,208,A000695708,4505947,2018/01/19 00:00:00+00,2018,AV AVENIDA DE LOS COMUNEROS-KR 38 2,SOLO DANOS,CHOQUE,PUENTE ARANDA,2018/01/19 18:00:00+00,4.61421964,-74.10455645,16001709,52904
-74.064567294,4.63390938384789,210,A000343511,4439572,2016/03/16 00:00:00+00,2016,KR 8-CL 47 02,CON HERIDOS,CHOQUE,CHAPINERO,2016/03/16 17:40:00+00,4.63390938,-74.06456729,2001850,193345
-74.032322721,4.69606853184584,212,A000553812,4471203,2017/01/28 00:00:00+00,2017,CL 119-KR 7 24,SOLO DANOS,CHOQUE,USAQUEN,2017/01/28 14:00:00+00,4.69606853,-74.03232272,1005061,174685
-74.043988358,4.67089324084668,223,A000346906,4442855,2016/04/21 00:00:00+00,2016,KR 7-CL 91 02,SOLO DANOS,CHOQUE,CHAPINERO,2016/04/21 13:00:00+00,4.67089324,-74.04398836,2000612,34924
-74.1038641499999,4.70899195784547,225,A2100,4405343,2015/02/20 00:00:00+00,2015,TR 94-CL 82C 02,CON HERIDOS,CHOQUE,ENGATIVA,2015/02/20 23:55:00+00,4.70899196,-74.10386415,10003179,17936
